Id	Location	Type
00000	Parkerdő	locality
00001	Гуняді	village
00002	Мале Попово	village
00003	Галабор	village
00004	Геча	village
00005	Мочола	village
00006	Четфалва	village
00007	Чома	village
00008	Есень	village
00009	Тисаашвань	village
00010	Бадалово	village
00011	Вилок	town
00012	Косонь	village
00013	Вари	village
00014	Petőfi-sziget	island
00015	Zeleni otok	island
00016	Kolera-sziget	island
00017	Parhida	village
00018	Voivozi	village
00019	Șilindru	village
00020	Ateaș	village
00021	Urziceni	village
00022	László-tanya	farm
00023	Pilica	suburb
00024	Kolping Biofalu	hamlet
00025	Határátkelőhely Röszke - Horgoš	locality
00026	Szúnyog-sziget	island
00027	Koppány-sziget	island
00028	Veránka-sziget	island
00029	Szigetelő	island
00030	Árva-sziget	island
00031	Öreg-füzes	island
00032	Vénjegenyés	island
00033	Doborgazi-jegenyés	island
00034	Meszes	hamlet
00035	Insel városrész	locality
00036	Érsekhalma	village
00037	Foktői sziget	island
00038	Szompácspuszta	hamlet
00039	Szentimre-puszta	farm
00040	Régi határátkelőhely Röszke - Horgoš 2	locality
00041	Bodorfa	hamlet
00042	Kalandsziget	island
00043	Kisivánpuszta	locality
00044	Antalmajor	hamlet
00045	Babilónia	farm
00046	Dombóvár, Mászlony puszta	suburb
00047	Központi bázis	locality
00048	Mátra	region
00049	Zempléni-hegység	region
00050	Soproni-hegység	region
00051	Pincesor	locality
00052	Magyaratád - Rácegres	suburb
00053	Egykori Bárnevolna-major	locality
00054	Balassi Lakópark	locality
00055	Bratislava	suburb
00056	Hermina-sziget	island
00057	Čunovo	suburb
00058	Rusovce	suburb
00059	Jarovce	suburb
00060	Balokány fürdő (volt)	locality
00061	Devínska Nová Ves	suburb
00062	Günser Gebirge	region
00063	Devín	suburb
00064	Záhorská Bystrica	suburb
00065	Bratislava	city
00066	Marianka	suburb
00067	Kaposmérő - Ebédvesztőpuszta	suburb
00068	Keleti ipartelep	locality
00069	Pincesor	locality
00070	Gyulamajor	suburb
00071	Kaposmérő - Baglas	suburb
00072	Kecskeugrató (farakodó)	locality
00073	Kányás	locality
00074	Csitri-sziget	island
00075	Fáspuszta	hamlet
00076	Somogysárd - Sörnyepuszta	suburb
00077	Kisberki	suburb
00078	Tálod középkori falu feltáratlan romja	locality
00079	Sólyom-Tanya	farm
00080	Soltszentimre Csonkatorony	locality
00081	Égett malom tanya (Nagytanya)	farm
00082	Farma Hatvan - Belje d.d.	farm
00083	Galgagyörk	hamlet
00084	Vályogvető	locality
00085	Kenderáztató (hajdani)	locality
00086	Papkúti lovastanya	farm
00087	Böde	locality
00088	Füredi Kapu lakópark	suburb
00089	Szúnyog-sziget	island
00090	Szent Mihály major	farm
00091	Велика Паладь	village
00092	Szúnyog-sziget	island
00093	Tolna megye	county
00094	Hideg-kút	locality
00095	Békés megye	county
00096	Jász-Nagykun-Szolnok megye	county
00097	Turul Népe Lovas Udvar	farm
00098	Komárom-Esztergom megye	county
00099	Hajdú-Bihar megye	county
00100	Nógrád megye	county
00101	Heves megye	county
00102	Grébicspuszta	hamlet
00103	Molnár-sziget	island
00104	Ürbőpuszta	hamlet
00105	Tápióvölgye V.T. vadászház	farm
00106	hajósszentgyörgyi vadászház	farm
00107	Felsőadacs	farm
00108	Felsőadacs	farm
00109	Szabolcs-Szatmár-Bereg megye	county
00110	Budapest	region
00111	Budapest	city
00112	Lőrinc-major	locality
00113	Varga Tanya Hotel, Konferencia és Szabadidő Központ	hamlet
00114	Fejér megye	county
00115	Közép-Magyarország	region
00116	Pest megye	county
00117	Prímás-sziget	island
00118	Vadépuszta (Gamás)	village
00119	Kormos	island
00120	Lupa-sziget	island
00121	Koromla puszta	hamlet
00122	Vadászmajor	hamlet
00123	Veszprém megye	county
00124	Győr-Moson-Sopron megye	county
00125	Csényeújmajor	suburb
00126	Babaliget	suburb
00127	Bánát	suburb
00128	Kovácsi	suburb
00129	Víkendházak	suburb
00130	Hosszúvölgy dűlő	hamlet
00131	Gödörállás	hamlet
00132	Tizenháromváros	suburb
00133	Vármellék	suburb
00134	Bogát	suburb
00135	Szentkirály	suburb
00136	Gyöngyöshermán	suburb
00137	Petőfitelep	suburb
00138	Zanat	suburb
00139	Középhegy	suburb
00140	Alsóhegy	suburb
00141	Óperint	suburb
00142	Oladi lakótelep	suburb
00143	Olad	suburb
00144	Joskar-Ola-lakótelep	suburb
00145	Stromfeld-lakótelep	suburb
00146	Minerva lakópark	suburb
00147	Palatinca	hamlet
00148	Szőkefölde	suburb
00149	Szentmárton	suburb
00150	Kámon	suburb
00151	Hosszú-szög	locality
00152	Déli városrész	suburb
00153	Felsőhegy	suburb
00154	Kenderes	suburb
00155	Kismező	suburb
00156	Bádonfa	suburb
00157	Zarkaháza	suburb
00158	Nagylegelő	suburb
00159	Zala megye	county
00160	Randgebirge östlich der Mur	region
00161	Felső-szőlő	locality
00162	Felső-szőlő	locality
00163	Felső-szőlő	locality
00164	Felső-szőlő	locality
00165	Dömörkapu	locality
00166	Északi városrész	suburb
00167	Belváros	suburb
00168	Somogy megye	county
00169	Magánterület	locality
00170	Baranya megye	county
